Episode_title	Episode_runtime	Released_on 
Champaklal Ki Sabak	20 mins	08 Aug 2016
"Mission ""Saaf Safai"""	20 mins	09 Aug 2016
Gokuldham ke Gunde	19 mins	10 Aug 2016
Gokuldham Behind The Bars	43 mins	11 Aug 2016
Gokuldham Society Plans For Independence Day	19 mins	12 Aug 2016
Gaane Ki Azaadi	19 mins	15 Aug 2016
Independence Day In Gokuldham	21 mins	16 Aug 2016
Special Brothers	20 mins	17 Aug 2016
Sundar Ka Taufa	18 mins	18 Aug 2016
Raksha Bandhan With Soldiers	21 mins	19 Aug 2016
Jethalal Ka Promise	20 mins	22 Aug 2016
Taarak ki Samasya	20 mins	23 Aug 2016
Gokuldham Society Visits Jewelry Exhibition	20 mins	24 Aug 2016
Hiralal Ka Jewelry Exhibition	20 mins	25 Aug 2016
Daya Wants Diamond Studded Saree	20 mins	26 Aug 2016
Jethalal Ki Duvidha	20 mins	29 Aug 2016
Taarak Ka Idea	19 mins	30 Aug 2016
Jethalal Ki Tarkeeb	19 mins	31 Aug 2016
Jethalal Brings The Saree	21 mins	01 Sep 2016
Daya Wears Diamond Studded Saree	20 mins	02 Sep 2016
Chori Ki Saree	20 mins	05 Sep 2016
Goons Attack Jethalal and Taarak	18 mins	06 Sep 2016
Champaklal Files Police Complaint	20 mins	07 Sep 2016
Jethalal In Police Station	20 mins	08 Sep 2016
Police Arrests Jethalal and Taarak	19 mins	09 Sep 2016
Ganesh Utsav In Gokuldham Society	40 mins	10 Sep 2016
Bhide Requires Volunteers For Ganesha Utsav	21 mins	12 Sep 2016
Secret Theme For Ganesha Utsav	20 mins	13 Sep 2016
Innovative Ganesh Pandal	20 mins	14 Sep 2016
Gokuldham Society Celebrates Ganesha Utsav	19 mins	15 Sep 2016
Funny Performances	20 mins	16 Sep 2016
Champaklal Ka Classical Dance	19 mins	19 Sep 2016
Puppet Dance	20 mins	20 Sep 2016
Champaklal Punishes Iyer And Jethalal	18 mins	21 Sep 2016
Taarak Ki Kavita	20 mins	22 Sep 2016
Kavi Sammelan	20 mins	23 Sep 2016
Mr	20 mins	26 Sep 2016
Mr	18 mins	27 Sep 2016
Patiyon Ka Top Secret	20 mins	28 Sep 2016
Arrangements For Patni Pariksha	20 mins	29 Sep 2016
Mission Patni Pariksha	20 mins	30 Sep 2016
Husbands Confront Their Wives	19 mins	03 Oct 2016
Navratri Ki Tayyari	21 mins	04 Oct 2016
Gokuldham Society Gears Up For Navratri Celebrations	20 mins	05 Oct 2016
Navratri Ki Tayyari	20 mins	06 Oct 2016
'All-in-One' Bhai Threatens Bhide	19 mins	07 Feb 2016
Jethalal Sells Speakers To Bhai	20 mins	10 Oct 2016
'All In One' Bhai Threatens The Ladies	19 mins	11 Oct 2016
Sundar Gifts A Dresses To Everyone	20 mins	12 Oct 2016
Tappu Sena Ki Chalaki	20 mins	13 Oct 2016
'All In One' Bhai Ka Challenge	20 mins	14 Oct 2016
Bhide Ka Shirshasana	19 mins	15 Oct 2016
Jethalal Ka Cheque	20 mins	17 Oct 2016
Dr	18 mins	18 Oct 2016
Kaveri Ka Phone	19 mins	19 Oct 2016
Popatlal Ki Duvidha	19 mins	20 Oct 2016
Popatlal Ki Shaamat	19 mins	21 Oct 2016
Popatlal Ka Popat	18 mins	22 Oct 2016
Kusum Rejects Popatlal's Wedding Proposal	19 mins	24 Oct 2016
Sonu Ka Surprise	19 mins	25 Oct 2016
Sonu Prepares Chocolates	19 mins	26 Oct 2016
Sonu Starts Her Business Venture	18 mins	27 Oct 2016
Bhide Loans Money For Sonu's Business	19 mins	28 Oct 2016
Sonu Ki Khushkhabri	19 mins	29 Oct 2016
Secret Angel In Gokuldham Society	20 mins	30 Oct 2016
Mrs	20 mins	01 Nov 2016
Tapu Sena Ki Vishal Rangoli	19 mins	02 Nov 2016
Jethalal And Daya Celebrate New Year	20 mins	03 Nov 2016
Anjali Ka Diet Plan	20 mins	04 Nov 2016
Fatafat Marriage Bureau	20 mins	07 Nov 2016
Bagha And Natu Kaka Demand Pay Raise	20 mins	08 Nov 2016
Natu Kaka And Bagha's Ultimatum	20 mins	09 Nov 2016
Natu Kaka Aur Bagha Ka Aandolan	19 mins	10 Nov 2016
Natu Kaka And Bagha Vs Jethalal	20 mins	11 Nov 2016
Jethalal Ki Nayi Samasya	19 mins	14 Nov 2016
Jethalal Raises Bagha And Natu Kaka's Salaries	38 mins	15 Nov 2016
Lakshmi Appears In Jethalal's Dream	19 mins	16 Nov 2016
Naresh Ka Offer	20 mins	17 Nov 2016
Jethalal In Dilemma	20 mins	18 Nov 2016
Naresh Cancels His Order	20 mins	21 Nov 2016
Sundarlal Plans To Repay Jethalal's Money	20 mins	22 Nov 2016
Jethalal Comes To Manoj's Office	19 mins	23 Nov 2016
Jethalal Meets Chandrakant	19 mins	24 Nov 2016
Jethalal Ki Chinta	20 mins	25 Nov 2016
Police Arrests Jethalal	18 mins	28 Nov 2016
Jethalal Plans To Return Manoj's Money	21 mins	29 Nov 2016
Popatlal Plans To Visit Marriage Bureau	21 mins	30 Nov 2016
Sodhi Proposes A Party	19 mins	01 Dec 2016
Mission Permission	21 mins	02 Dec 2016
Taarak Plans To Attend The Party	20 mins	05 Dec 2016
Roshan Allows Sodhi	21 mins	06 Dec 2016
Bawri Comes To Jethalal's House	20 mins	07 Dec 2016
The Ladies Plan A Mocktail Party	20 mins	08 Dec 2016
The Gents Gather For The Party	19 mins	09 Dec 2016
France Ki Bottle	19 mins	12 Dec 2016
Daya Ka Surprise	19 mins	13 Dec 2016
Chalu Pandey Comes To Gokuldham Society	20 mins	14 Dec 2016
Mr	20 mins	15 Dec 2016
Jethalal Ka Lucky Bangle	20 mins	16 Dec 2016
Ghanchakkar Steals Jethalal's Lucky Bangle	21 mins	19 Dec 2016
Manmoji Comes To Jethalal's Shop	19 mins	20 Dec 2016
Manhar Manmoji Ka Aatank	19 mins	21 Dec 2016
Catching The Culprit	19 mins	30 Jun 2020
Jethalal Brings Manhar To Gokuldham Society	19 mins	23 Dec 2016
Manhar Manmoji In Jethalals House	20 mins	26 Dec 2016
Samir Visits His Father	20 mins	27 Dec 2016
Popatlal Ki Samasya	21 mins	28 Dec 2016
Popatlal Meets Asit	19 mins	29 Nov 2016
New Year Party	21 mins	30 Dec 2016
Sodhi Ka Secret	20 mins	02 Jan 2017
Iyer's Gift For Babita	19 mins	03 Jan 2017
Dirty Champaklal	20 mins	04 Jan 2017
Bhide Confronts Jethalal	20 mins	05 Jan 2017
Tapu Sena Accept Their Mistake	20 mins	06 Jan 2017
Bhides Scooter Gets Damaged	20 mins	09 Jan 2017
Goons Steal Bhide's Scooter	19 mins	10 Jan 2017
One Crore	20 mins	11 Jan 2012
Raising One Crore Rupees	20 mins	12 Jan 2017
Bhide In Trouble	21 mins	13 Jan 2017
Toofan Is Called Upon	20 mins	16 Jan 2017
Toofan Appears Before Don Baadal	20 mins	17 Jan 2017
Toofan Bows Down Before Baadal	20 mins	18 Jan 2017
Popatlal's New Plan	19 mins	19 Jan 2017
Kulfi Preparation	20 mins	20 Jan 2017
Jethalal Sells Kulfi	20 mins	23 Jan 2017
Don Baadal's Car Gets Stolen	19 mins	24 Jan 2017
Don Baadal Finds Out	20 mins	25 Jan 2017
Bhide Gets His Scooter Back	18 mins	26 Jan 2017
Republic Day Preparations In Gokuldham Society	19 mins	27 Jan 2017
Special Republic Day	19 mins	30 Jan 2017
Bhides Thanksgiving	20 mins	31 Jan 2017
Bhide Explains The Importance Of Conch	19 mins	01 Feb 2017
Sunita Ki Samasya	20 mins	02 Feb 2017
Ganpat Is Called To Gokuldham	20 mins	03 Feb 2017
Ganpat Arrives	20 mins	06 Feb 2017
Ganpat Agrees	20 mins	07 Feb 2017
School Refuses Tanvi	19 mins	08 Feb 2017
Bhide Teaches A Lesson	20 mins	09 Feb 2017
Mission Admission	20 mins	10 Feb 2017
Execution Of Bhide's Plan	20 mins	13 Feb 2017
Tanvi Gets Admission	19 mins	14 Feb 2017
Kachre Ki Samasya	19 mins	15 Feb 2017
Champaklal Ki Pratigya	19 mins	16 Feb 2017
Champaklal Goes Missing	19 mins	17 Feb 2017
Search For Champaklal	19 mins	20 Feb 2017
Jethalal Files Missing Complaint	19 mins	21 Feb 2017
Champaklal Returns Home	18 mins	22 Feb 2017
Dustbin Ka Kamaal	19 mins	23 Feb 2017
Champaklal Gifts Dustbins	20 mins	24 Feb 2017
Compost	20 mins	27 Feb 2017
Midnight Birthday	18 mins	28 Feb 2017
Invitation To The Party	19 mins	01 Mar 2017
Jethalal's Gift To Tapu	20 mins	02 Mar 2017
Another Party	19 mins	03 Mar 2017
Getting Ready	18 mins	06 Mar 2017
Tapu Does Not Come To His Own Party	20 mins	07 Mar 2017
Tapu Meets Raju	18 mins	08 Mar 2017
Sundar Wishes Tapu	19 mins	09 Mar 2017
Tapu Sena Plan To Celebrate Holi	19 mins	10 Mar 2017
Bhide And Madhavi Play Holi	18 mins	13 Mar 2017
Holika Bonfire	18 mins	14 Mar 2017
Babita and Iyer Agree To Play Holi	19 mins	15 Mar 2017
Popatlal Decides To Not Play Holi	19 mins	16 Mar 2017
Popatlal Locks Himself	19 mins	17 Mar 2017
Tapu Plans To Get Popatlal Out	19 mins	18 Mar 2017
Tapus Secret Plan	19 mins	21 Mar 2017
Sundar Meets Popatlal	19 mins	22 Mar 2017
Popatlal Agrees To Play Holi	19 mins	23 Mar 2017
Popatlal Gets A Marriage Proposal	20 mins	24 Mar 2017
Zarna Meets Popatlal	20 mins	27 Mar 2017
Popatlal's Gift For Bhide	18 mins	28 Mar 2017
Celebrating Gudi Padwa	19 mins	29 Mar 2017
Romantic Jethalal	19 mins	30 Mar 2017
Ratnavali Comes To Gokuldham Society	19 mins	31 Mar 2017
Ratnavalis Love Test	19 mins	03 Apr 2017
Gemstones	18 mins	04 Apr 2017
Daya Forces Jethalal To Wear A Necklace	20 mins	05 Apr 2017
Anjali In Trouble	20 mins	06 Apr 2017
The Secret Of Ratnavalis Gemstones	20 mins	07 Apr 2017
Ratnavali Reveals The Secret	19 mins	10 Apr 2017
Love Test In Gokuldham	19 mins	11 Apr 2017
Taarak's Love Test	19 mins	12 Apr 2017
Jethalal's Secret Affair	19 mins	13 Apr 2017
Daya Trusts Jethalal	20 mins	14 Apr 2017
Jethalal Reveals His Secret Love	20 mins	17 Apr 2017
Sheri Ki Car	20 mins	18 Apr 2017
Sodhi And Friends Steal Police Car	20 mins	19 Apr 2017
Police Get Back Their Car	18 mins	20 Apr 2017
Police Makes Arrest	19 mins	21 Apr 2017
Meetup In Police Station	19 mins	24 Apr 2017
All Released	18 mins	25 Apr 2017
Tanu Sena Ka Surprise	20 mins	26 Apr 2017
Tapu Learns Japanese	19 mins	27 Apr 2017
Wet Documents	20 mins	28 Apr 2017
Bhide Challenges Tapu	20 mins	01 May 2017
Champaklal Yells	20 mins	02 May 2017
Tapu Sena Meets Malaya	19 mins	03 May 2017
Dangerous Ranga	19 mins	04 May 2017
Mission Hathoda	20 mins	05 May 2017
Manual Labour	21 mins	08 May 2017
Mayal Gets In On The Mission	18 mins	09 May 2017
Tapu Sena In Trouble	19 mins	10 May 2017
Jethalal And Friends Scold Tapu Sena	21 mins	11 May 2017
Food And Death	20 mins	12 May 2017
Roshan Fights With Sodhi	21 mins	15 May 2017
Bhide And Madhavi	19 mins	16 May 2017
Bhide Makes A Mess	21 mins	17 May 2017
Brothers Meet	20 mins	18 May 2017
Matter Resolved	19 mins	19 May 2017
Ruined Clothes	20 mins	22 May 2017
Sundar Opens Up A New Shop	20 mins	23 May 2017
Do Not Criticize Sundar	20 mins	24 May 2017
Sundar Comes To Mumbai	19 mins	25 May 2017
Sundar In Trouble	18 mins	26 May 2017
Sundar Demands Money From Jethalal	19 mins	29 May 2017
Jethalal Fools Sundar	19 mins	30 May 2017
Sundar Makes Profit In His New Venture	18 mins	31 May 2017
Bhide Meets Gotya's Mother	20 mins	01 Jun 2017
Waiting For Results	20 mins	02 Jun 2017
Mangutai Wants Compensation	20 mins	05 Jun 2017
Hard Earned Money	20 mins	06 Jun 2017
Confession	20 mins	07 Jun 2017
Gotya Apologizes To Bhide	19 mins	08 Jun 2017
Mystery Man	19 mins	09 Jun 2017
Jethalal's Mysterious Call	20 mins	10 Jun 2017
Asit Modi Is Called	21 mins	12 Jun 2017
Varun Dhawan Visits Gokuldham	22 mins	13 Jun 2017
A Call From Marriage Bureau	19 mins	14 Jun 2017
Girl In Poptlal's House	18 mins	15 Jun 2017
Jhilmil Meets Popatlal	18 mins	16 Jun 2017
Popatlal Plans To Meet Salman Khan	18 mins	19 Jun 2017
Salman Khan Agrees To Meet Popatlal	19 mins	20 Jun 2017
Popatlal And Friends Meet Salman Khan	20 mins	21 Jun 2017
Salman Khan Avoids Popatlal	20 mins	22 Jun 2017
Jhilmil Agrees	20 mins	23 Jun 2017
Selfie with Salman Khan	19 mins	26 Jun 2017
Poppatlals Dream Remains Unfulfilled	20 mins	27 Jun 2017
Eternal Optimism Of Poppatlal	20 mins	28 Jun 2017
Tappu Wants to Visit Goa	20 mins	29 Jun 2017
Bhide Too Wants to Visit Goa	19 mins	30 Jun 2017
Bhide's Goa Dilemma	18 mins	03 Jul 2017
Tapu Sena Is Planning	20 mins	04 Jul 2017
Trouble In Goa	20 mins	05 Jul 2017
Toni Stalks Gokuldham Society Members	19 mins	06 Jul 2017
Tony Follows Champaklal	19 mins	07 Jul 2017
Adventure Sports In Goa	19 mins	10 Jul 2017
Champaklal Gets High In Goa	19 mins	11 Jul 2017
The Big Surprise	20 mins	12 Jul 2017
Chalu Pandey VS Goons	20 mins	13 Jul 2017
Champaklal Goes Missing	20 mins	14 Jul 2017
Mubarakan Special	41 mins	15 Jul 2017
New Washing Machine	20 mins	17 Jul 2017
Will Babita Get Lucky?	19 mins	18 Jul 2017
A Gift For Babita	20 mins	19 Jul 2017
Washing Machine's Terror	18 mins	20 Jul 2017
A Nightmare?	19 mins	21 Jul 2017
Washing Machine Mystery	19 mins	24 Jul 2017
Babita's Kitty Party Ruined	18 mins	25 Jul 2017
Machine Mystery Unsolved	18 mins	26 Jul 2017
Breaking News: Washing Machine	20 mins	27 Jul 2017
Gokuldham Pizza Party	21 mins	28 Jul 2017
Victory For Babita And Jethalal	20 mins	31 Jul 2017
Jethalal's Surprise	19 mins	01 Aug 2017
Harry and Sejal's Gift	20 mins	02 Aug 2017
Shah Rukh Khan And Anushka Sharma Visit Gokuldham	19 mins	03 Aug 2017
Celebrations With Harry and Sejal	20 mins	04 Aug 2017
Gifts For Everyone	20 mins	07 Aug 2017
Gokuldham's Emergency Meeting	20 mins	08 Aug 2017
Who Will Hoist The Flag?	20 mins	09 Aug 2017
Iyer Ridicules Jethalal	19 mins	10 Aug 2017
Misplaced Bag	19 mins	11 Aug 2017
Where Is The Flag?	19 mins	14 Aug 2017
Jethalal And Iyer Have An Argument	20 mins	15 Aug 2017
Surprise Guest At Gokuldham	18 mins	16 Aug 2017
Tappu Sena's Janmashtami Celebrations	19 mins	17 Aug 2017
The Rs 51,000 Bill	20 mins	18 Aug 2017
Gokuldham's Ganapati Darshan	20 mins	21 Aug 2017
Food For Thought	20 mins	22 Aug 2017
Komal's Outfit Woes	19 mins	23 Aug 2017
Weight Issues	18 mins	24 Aug 2017
Komal's Laugh Riot	19 mins	25 Aug 2017
The Incorrect Weighing Machine	19 mins	28 Aug 2017
The Football Match	19 mins	29 Aug 2017
Komal's Secret Mission	19 mins	30 Aug 2017
Sonu's Gift For Komal Bhabhi	20 mins	31 Aug 2017
Komal And Hathi Win A Prize	20 mins	01 Sep 2017
Gokuldham Gears Up For Ganeshutsav	20 mins	04 Sep 2017
A Traditional Celebration At Gokuldham	19 mins	05 Sep 2017
Jethalal Goes Missing	20 mins	06 Sep 2017
Jethalal's Absence Creates Panic	20 mins	07 Sep 2017
The Fancy Dress Competition	19 mins	02 Jul 2020
Jethalal's Worries Continue	20 mins	11 Sep 2017
And The Winner Is	19 mins	12 Sep 2017
The Boring Breakfast	19 mins	13 Sep 2017
Daya's Love For Jethalal	20 mins	14 Sep 2017
Gokuldham's Notice Board Goes Missing	20 mins	15 Sep 2017
Chalu Pandey Returns	20 mins	18 Sep 2017
Tapu's New Smartwatch	20 mins	19 Sep 2017
Professor Bhide Becomes A Shopkeeper	20 mins	20 Sep 2017
The Spiked Drink	19 mins	21 Sep 2017
The Smart Chase	19 mins	22 Sep 2017
Chai	20 mins	25 Sep 2017
Taarak's Fashion Statement	19 mins	26 Sep 2017
Sundar Returns	20 mins	27 Sep 2017
Navaratri Is Here	20 mins	28 Sep 2017
Jethalal's Music System	19 mins	29 Sep 2017
Navratri Special	20 mins	30 Sep 2017
Musical Garba Night At Gokuldham	19 mins	02 Oct 2017
Jethalal's New Rival	20 mins	03 Oct 2017
Gada Electronics Gets A New Neighbour	20 mins	04 Oct 2017
Jethalal's Face Blackened	20 mins	05 Oct 2017
Nattu Kaka And Bagha's Job Opportunity	21 mins	06 Oct 2017
Jethalal's Fear Of Losing Bagha And Nattu Kaka	20 mins	09 Oct 2017
Heart Broken Jethalal	18 mins	10 Oct 2017
Jethalal's Negative Thought On Notice Board	18 mins	11 Oct 2017
Paranoid Jethalal	20 mins	12 Oct 2017
Jethalaal The Tiger	19 mins	13 Oct 2017
Special Episode	20 mins	14 Oct 2017
End Of Gada Electronics	20 mins	16 Oct 2017
Happy Ending	20 mins	17 Oct 2017
Good News	20 mins	18 Oct 2017
Shopping For Crackers	19 mins	19 Oct 2017
Diwali Celebration	20 mins	20 Oct 2017
Diwali With Golmaal Again Cast	20 mins	21 Oct 2017
Golmaal Is Back Again	19 mins	23 Oct 2017
Surprise Gift For Taarak	18 mins	24 Oct 2017
Elusive Gift	20 mins	25 Oct 2017
Jethalal Falls	21 mins	26 Oct 2017
First Customer Privilege	21 mins	27 Oct 2017
Taarak's Gift For Anjali	20 mins	30 Oct 2017
Taarak Gets Robbed	20 mins	31 Oct 2017
Taarak Tells Anjali About Robbery	20 mins	01 Nov 2017
Taarak Gets Back His Gift	20 mins	02 Nov 2017
Jethalal's Hiccup	21 mins	03 Nov 2017
Jethalal And Daya Travel To Surat	20 mins	06 Nov 2017
Water Shortage	20 mins	07 Nov 2017
Mysterious Bag	20 mins	08 Nov 2017
Demonetized Notes In Gokuldham	20 mins	09 Nov 2017
Money Problem	20 mins	10 Nov 2017
Inspector Finds Money	19 mins	13 Nov 2017
Gada Family Missing	20 mins	14 Nov 2017
Champaklal On Fire	20 mins	15 Nov 2017
Orphan Currency	21 mins	16 Nov 2017
Popatlal Demands Phone	19 mins	17 Nov 2017
Popatlal Blackmails Society Members	21 mins	20 Nov 2017
Popatlal Demands New Phone	20 mins	21 Nov 2017
Friend's Jewellery	20 mins	22 Nov 2017
The Strange Kid	20 mins	23 Nov 2017
Monkey Dance	20 mins	24 Nov 2017
Bribing The Kid	40 mins	27 Nov 2017
Chintu Goes Missing	40 mins	28 Nov 2017
Babita's Workout	20 mins	29 Nov 2017
Jethalal In Gambling	19 mins	30 Nov 2017
Iyer Accuses Jethalal Of Gambling	20 mins	01 Dec 2017
Jethalal In Bandarpada	20 mins	04 Dec 2017
The Bookie Loots Champaklal	18 mins	05 Dec 2017
Champaklal Catch Jethalal  In Casino	16 mins	06 Dec 2017
Casino Expose	18 mins	07 Dec 2017
Boycott Popatlal	20 mins	08 Dec 2017
Stains On The Floor	19 mins	11 Dec 2017
Jammed Door	19 mins	12 Dec 2017
Babu Chipke	20 mins	13 Dec 2017
Champaklal Get Stuck	19 mins	14 Dec 2017
Stuck Champaklal	20 mins	15 Dec 2017
Attached Door	20 mins	18 Dec 2017
Non Detachable Glue	20 mins	19 Dec 2017
Call To Fire brigade	21 mins	20 Dec 2017
Order Accepted	20 mins	21 Dec 2017
Doubt On Babu Chipke's Work	20 mins	22 Dec 2017
Iyer Has A Solution	19 mins	25 Dec 2017
Iyer's Scientist Brain	20 mins	26 Dec 2017
Party Planning	20 mins	27 Dec 2017
New Year Planning	21 mins	28 Dec 2017
Relive 2017	20 mins	29 Dec 2017
The Inspirational Message	20 mins	01 Jan 2018
XYZ 007	20 mins	02 Jan 2018
Record	19 mins	03 Jan 2018
Iyer's Surprise	20 mins	04 Jan 2018
Jethalal Tries To Apologise	20 mins	05 Jan 2018
Iyer Comes Clean	20 mins	08 Jan 2018
Abdul Disappears	20 mins	09 Jan 2018
The Search For Lemons	19 mins	10 Jan 2018
The Men Are In Jail	20 mins	11 Jan 2018
The Blame Game	19 mins	12 Jan 2018
The Men Prove Their Innocence	20 mins	15 Jan 2018
The Society Is Locked	20 mins	16 Jan 2018
Tapu Is Missing	20 mins	17 Jan 2018
The Helping Hand	21 mins	18 Jan 2018
The Secretive Pinku	20 mins	19 Jan 2018
Tapu Sena's Message to Parents	19 mins	22 Jan 2018
Tapu Sena's Rickshaw Ride	19 mins	23 Jan 2018
Bhide Is Bitten	19 mins	24 Jan 2018
Missing Pinku	21 mins	25 Jan 2018
Tappu's Search For Pinku	20 mins	26 Jan 2018
Pinku's House	21 mins	29 Jan 2018
Pinku's Trouble	19 mins	30 Jan 2018
Pinku's Parents	21 mins	31 Jan 2018
Festivities	20 mins	01 Feb 2018
Gokuldham Celebrates Republic Day	20 mins	02 Feb 2018
Pinku's Parents Arrive In Gokuldham Society	19 mins	05 Feb 2018
Gokuldham Society Celebrates Republic Day	20 mins	06 Feb 2018
Pinku is Relieved	19 mins	07 Feb 2018
Pinku's Gift	20 mins	08 Feb 2018
The Bad Omen	20 mins	09 Feb 2018
Tappu Sena's Surprise	20 mins	12 Feb 2018
Champaklal Learns The Truth	19 mins	13 Feb 2018
Pinku's Lies Are Exposed	20 mins	14 Feb 2018
Pinku Is Dejected	20 mins	15 Feb 2018
Pinku Is Going To Canada	20 mins	16 Feb 2018
Tapu Sena At The Airport	20 mins	19 Feb 2018
Friends Forever	19 mins	20 Feb 2018
Pinku Returns	19 mins	21 Feb 2018
Champaklal Decides To Adopt Pinku	21 mins	22 Feb 2018
Champaklal's Decision	20 mins	23 Feb 2018
Champaklal's Search For A Lawyer	20 mins	26 Feb 2018
Jethalal Is Stressed Out	41 mins	27 Feb 2018
The Adoption	20 mins	09 Jul 2020
Pinku’s Parents	20 mins	09 Jul 2020
The Secret Agents	20 mins	02 Mar 2018
Iyer's Photograph	20 mins	05 Mar 2018
Holi Celebrations At Gokuldham Society	20 mins	06 Mar 2018
Sundar Arrives At Gokuldham Society	20 mins	07 Mar 2018
Jethalal In Trouble	20 mins	08 Mar 2018
Iyer Is Furious	19 mins	09 Mar 2018
Jethalal In Trouble	19 mins	12 Mar 2018
When Every Plan Fails	19 mins	13 Mar 2018
Chaos Over Some Colour	20 mins	14 Mar 2018
Tappu Solves The Problem	19 mins	15 Mar 2018
Iyer's Disappointment	20 mins	16 Mar 2018
Mom's Remedy	19 mins	19 Mar 2018
Jethalal's Final Solution	20 mins	20 Mar 2018
Jethalal's Joy	19 mins	21 Mar 2018
The Phone Call	20 mins	22 Mar 2018
Bagha's Dilemma	20 mins	23 Mar 2018
The Deadline	19 mins	26 Mar 2018
Baga's Leave	20 mins	27 Mar 2018
Jethalal's Surprise	20 mins	28 Mar 2018
The Thank You Gift	20 mins	29 Mar 2018
Daya Is Back	20 mins	30 Mar 2018
Jethalal  Is Worried	20 mins	02 Apr 2018
Sundar Is In Town	19 mins	03 Apr 2018
Sunder's Mischief	20 mins	04 Apr 2018
Dinner Dilemma	20 mins	05 Apr 2018
The Dinner	19 mins	06 Apr 2018
The Special Meal	20 mins	09 Apr 2018
Jethalal's Breakfast	20 mins	10 Apr 2018
Champaklal's Plan	20 mins	11 Apr 2018
Champaklal's Kind Gesture	20 mins	12 Apr 2018
The Strike	20 mins	13 Apr 2018
Destination	20 mins	16 Apr 2018
The Lift	20 mins	17 Apr 2018
Sakaram In Trouble	20 mins	18 Apr 2018
The Missing Key	20 mins	19 Apr 2018
Cricket Tournament	18 mins	20 Apr 2018
Midnight Driving Lesson	20 mins	23 Apr 2018
Tappu Learns Driving	20 mins	24 Apr 2018
Missing Sakaram	19 mins	25 Apr 2018
Bhide's Worries	20 mins	26 Apr 2018
Scooter Under Watch	21 mins	27 Apr 2018
Bhide's Night Watch	21 mins	30 Apr 2018
Will Bhide Fall Asleep?	21 mins	01 May 2018
Bhide Goes to Sleep	21 mins	02 May 2018
Tappu In Trouble	22 mins	03 May 2018
Tappu Sena's Helplessness	22 mins	04 May 2018
The Righteous Punishment	22 mins	07 May 2018
Sakaram's Fate	21 mins	08 May 2018
The Perfect Plan	21 mins	09 May 2018
Jethalal's Nightmare	22 mins	10 May 2018
Trouble On A Sunday	22 mins	11 May 2018
Lesson For Laughter	22 mins	14 May 2018
Bhide In Distress	22 mins	15 May 2018
Bhide's Rage	22 mins	16 May 2018
Jethalal In Trouble	22 mins	17 May 2018
Bhide's Questions	22 mins	18 May 2018
Moral Dilemma	22 mins	21 May 2018
The Police Complaint	22 mins	22 May 2018
Jethalal's Plan	22 mins	23 May 2018
Nattu Kaka as Tun Baba	21 mins	24 May 2018
Nattu Kaka's Premonition	22 mins	25 May 2018
Tappu's Confession	22 mins	28 May 2018
Bhide's Punishment	22 mins	29 May 2018
Bhide's Unusual Calmness	22 mins	30 May 2018
Tappu Sena Obliges	22 mins	31 May 2018
Jethalals Misery	21 mins	01 Jun 2018
The Robbery	20 mins	04 Jun 2018
The Investigation Begins	21 mins	05 Jun 2018
Baga's Celebration	20 mins	06 Jun 2018
Baga's Loyalty	22 mins	07 Jun 2018
Reward for Loyalty	21 mins	08 Jun 2018
Sodhi's Secret	21 mins	11 Jun 2018
Peek into the Future	20 mins	12 Jun 2018
What's the Secret?	21 mins	13 Jun 2018
The Secret	20 mins	14 Jun 2018
All About Discussion	19 mins	15 Jun 2018
Sodhi's Suspense	21 mins	18 Jun 2018
Three Magical Words	21 mins	19 Jun 2018
Budget	20 mins	20 Jun 2018
Investment Woes	20 mins	21 Jun 2018
Raining Money	20 mins	22 Jun 2018
Off He Goes To The Island	22 mins	25 Jun 2018
Jethalal's Foreign Trip	20 mins	26 Jun 2018
Jethalal Going Abroad	20 mins	27 Jun 2018
Comparison	20 mins	28 Jun 2018
Jethalal's 100 Crore Scam	21 mins	29 Jun 2018
The Scam That Rocked Gokuldham Society	21 mins	02 Jul 2018
Police Interrogation	20 mins	03 Jul 2018
Evidence Against Jethalal	21 mins	04 Jul 2018
What Has Jethalal Done?	20 mins	05 Jul 2018
Time To Go	21 mins	06 Jul 2018
Men In Black	20 mins	09 Jul 2018
Jethalal's New Avatar	22 mins	10 Jul 2018
Dream Or Reality	21 mins	11 Jul 2018
Wheres Jethalal?	21 mins	12 Jul 2018
Off To Senorita Island	21 mins	13 Jul 2018
The Gifts	22 mins	16 Jul 2018
The Scam	20 mins	17 Jul 2018
Bhide Is Worried	21 mins	18 Jul 2018
Fresh Trouble for Jethalal	20 mins	19 Jul 2018
The Trouble Continues	20 mins	20 Jul 2018
What's Inside the Warehouse?	21 mins	23 Jul 2018
The Love Letter	21 mins	24 Jul 2018
Love Wins	21 mins	25 Jul 2018
An Ode To Gada Electronics	21 mins	26 Jul 2018
The Big Surprise	20 mins	27 Jul 2018
Surprise, Surprise!	23 mins	30 Jul 2018
The Journey	21 mins	31 Jul 2018
The Celebration	21 mins	01 Aug 2018
Popatlal's Treat	20 mins	02 Aug 2018
Good Omen	20 mins	03 Aug 2018
Haunted	19 mins	06 Aug 2018
Scary Night	20 mins	07 Aug 2018
A Long Night	21 mins	08 Aug 2018
The Inspection	20 mins	09 Aug 2018
The Signs	20 mins	10 Aug 2018
Ghostly Bride	21 mins	13 Aug 2018
Break The Lock	20 mins	14 Aug 2018
Sodhi's Bravery	20 mins	15 Aug 2018
